PlantletID,Openfield_Transfer_Date,Number,Location
SE201910_(162373C2/132684)_20,2020-11-12,2.0,Sendusu
SE201910_(162373C2/132684)_76,2020-11-12,2.0,Sendusu
SE201909_(162426C1/132660)_3,2020-11-12,2.0,Sendusu
SE201903_(162357C1/132383)_52,2020-11-16,1.0,Sendusu
SE201903_(162357C1/132383)_63,2020-11-16,2.0,Sendusu
SE201907_(162416C2/132332)_6,2020-12-01,2.0,Sendusu
SE201904_(162430C1/132419)_13,2020-12-01,2.0,Sendusu
SE201910_(163244C2/132696)_3,2020-12-01,1.0,Sendusu
SE201909_(162426C1/132660)_2,2020-12-01,2.0,Sendusu
SE201905_(162431C1/132332)_74,2020-12-01,2.0,Sendusu
SE201904_(162459C1/132361)_52,2020-12-01,1.0,Sendusu
SE201910_(162371C2/132696)_22,2020-12-01,2.0,Sendusu
SE201910_(162441C1/132696)_2,2020-12-01,2.0,Sendusu
SE201910_(162373C2/132684)_88,2020-12-01,2.0,Sendusu
SE201908_(162485C2/132696)_10,2020-12-01,2.0,Sendusu
SE201910_(162371C2/132696)_4,2020-12-01,2.0,Sendusu
SE201909_(162426C1/132660)_10,2020-12-01,2.0,Sendusu
SE201908_(162358C1/132647)_19,2020-12-01,2.0,Sendusu
SE201910_(162373C2/132684)_87,2020-12-01,2.0,Sendusu
SE201905_(162431C1/132332)_167,2020-12-01,2.0,Sendusu
SE201908_(162415C1/132466)_2,2020-12-01,2.0,Sendusu
SE201910_(162373C2/132684)_1,2020-12-01,2.0,Sendusu
SE201910_(162368C2/132696)_1,2020-12-01,2.0,Sendusu
SE201910_(162373C2/132684)_35,2020-12-01,2.0,Sendusu
SE201908_(162485C2/132696)_8,2020-12-01,2.0,Sendusu
SE201909_(162426C1/132660)_5,2020-12-01,2.0,Sendusu
SE201904_(162377C1/132361)_19,2020-12-01,2.0,Sendusu
SE201910_(162373C2/132684)_7,2020-12-01,2.0,Sendusu
