PlantletID,Weaning_2_Date,Number,Location
SE201902_(162421C1/132608)_1,2020-06-22,1.0,Sendusu
SE201907_(162379C1/132466)_10,2020-06-22,2.0,Sendusu
SE201905_(162431C1/132332)_100,2020-06-22,4.0,Sendusu
SE201903_(163325C1/132608)_1,2020-06-22,2.0,Sendusu
SE201902_(162421C1/132608)_21,2020-06-22,4.0,Sendusu
SE201905_(162431C1/132332)_12,2020-06-22,2.0,Sendusu
SE201905_(162431C1/132332)_117,2020-06-22,3.0,Sendusu
SE201903_(162849C1/132373)_2,2020-06-22,4.0,Sendusu
SE201904_(162459C1/132361)_25,2020-06-22,3.0,Sendusu
SE201907_(162865C1/132329)_1,2020-06-22,4.0,Sendusu
SE201908_(162358C1/132647)_8,2020-06-22,4.0,Sendusu
SE201905_(162431C1/132332)_41,2020-06-22,4.0,Sendusu
SE201903_(162357C1/132383)_3,2020-06-22,4.0,Sendusu
SE201908_(162374C2/132674)_5,2020-06-22,4.0,Sendusu
SE201909_(162534C1/132493)_1,2020-06-22,1.0,Sendusu
SE201902_(162421C1/132608)_9,2020-06-22,2.0,Sendusu
SE201908_(162358C1/132647)_3,2020-06-22,4.0,Sendusu
SE201904_(162377C1/132361)_16,2020-06-22,3.0,Sendusu
SE201902_(162450C1/132447)_17,2020-06-22,3.0,Sendusu
SE201905_(162431C1/132332)_23,2020-06-22,2.0,Sendusu
SE201905_(162431C1/132332)_148,2020-06-22,4.0,Sendusu
SE201903_(162357C1/132383)_52,2020-06-22,4.0,Sendusu
SE201903_(162405C1/132571)_3,2020-06-22,2.0,Sendusu
SE201909_(162426C1/132660)_9,2020-06-22,4.0,Sendusu
SE201901_(162589C1/132635)_3,2020-06-22,3.0,Sendusu
SE201905_(162431C1/132332)_121,2020-06-22,4.0,Sendusu
SE201904_(162459C1/132361)_53,2020-06-22,3.0,Sendusu
SE201904_(162430C1/132419)_8,2020-06-22,2.0,Sendusu
SE201811_(162926C1/132684)_1,2020-06-22,2.0,Sendusu
SE201903_(162357C1/132383)_24,2020-06-22,2.0,Sendusu
SE201909_(162414C2/132406)_5,2020-06-22,4.0,Sendusu
SE201903_(162357C1/132383)_50,2020-06-22,2.0,Sendusu
SE201909_(162414C2/132406)_1,2020-06-22,3.0,Sendusu
SE201909_(162414C2/132406)_4,2020-06-22,2.0,Sendusu
SE201906_(162388C1/132533)_2,2020-06-22,2.0,Sendusu
SE201907_(162379C1/132466)_8,2020-06-22,4.0,Sendusu
SE201903_(162357C1/132383)_46,2020-06-22,4.0,Sendusu
SE201904_(162377C1/132361)_18,2020-06-22,4.0,Sendusu
SE201905_(162431C1/132332)_139,2020-06-22,3.0,Sendusu
SE201905_(162431C1/132332)_49,2020-06-22,2.0,Sendusu
SE201907_(162416C2/132332)_11,2020-06-22,2.0,Sendusu
SE201910_(162371C2/132696)_18,2020-06-22,2.0,Sendusu
SE201905_(162431C1/132332)_157,2020-06-22,4.0,Sendusu
SE201906_(162693C2/132568)_2,2020-06-22,4.0,Sendusu
SE201903_(162357C1/132383)_63,2020-06-22,4.0,Sendusu
SE201905_(162431C1/132332)_158,2020-06-22,3.0,Sendusu
SE201907_(162379C1/132466)_4,2020-06-22,2.0,Sendusu
SE201904_(162485C1/132614)_12,2020-06-22,3.0,Sendusu
SE201902_(162449C1/132494)_2,2020-06-22,4.0,Sendusu
SE201907_(162416C2/132332)_25,2020-07-15,4.0,Sendusu
SE201904_(162459C1/132361)_52,2020-05-22,1.0,Sendusu
SE201910_(162373C2/132684)_69,2020-08-12,4.0,Sendusu
SE201908_(162485C2/132696)_3,2020-08-12,2.0,Sendusu
SE201908_(162415C1/132466)_1,2020-08-12,3.0,Sendusu
SE201908_(162485C2/132696)_5,2020-08-12,2.0,Sendusu
SE201908_(162485C2/132696)_11,2020-08-12,3.0,Sendusu
SE201902_(162450C1/132447)_19,2020-08-12,2.0,Sendusu
