PlantletID,Copies,Subculture_Date,Location
SE201904_(162430C1/132419)_15,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_67,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_30,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_65,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_155,1,2020-01-16,Sendusu
SE201904_(162430C1/132419)_9,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_90,1,2020-01-16,Sendusu
SE201903_(163382C1/132701)_1,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_33,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_32,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_43,1,2020-01-16,Sendusu
SE201904_(162377C1/132361)_7,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_18,1,2020-01-16,Sendusu
SE201904_(162430C1/132419)_6,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_126,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_103,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_156,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_29,1,2020-01-16,Sendusu
SE201904_(162377C1/132361)_24,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_7,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_28,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_10,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_23,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_14,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_17,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_2,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_20,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_18,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_28,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_111,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_10,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_123,1,2020-01-16,Sendusu
SE201902_(162449C1/132494)_4,1,2020-01-16,Sendusu
SE201902_(162421C1/132608)_20,1,2020-01-16,Sendusu
SE201902_(162449C1/132494)_2,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_158,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_153,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_150,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_148,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_160,1,2020-01-16,Sendusu
SE201903_(163325C1/132608)_1,1,2020-01-16,Sendusu
SE201902_(162421C1/132608)_7,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_5,1,2020-01-16,Sendusu
SE201812_(162435C1/132708)_3,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_24,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_23,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_53,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_21,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_66,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_4,1,2020-01-16,Sendusu
SE201904_(162459C1/132361)_69,1,2020-01-16,Sendusu
SE201902_(162421C1/132608)_24,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_34,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_35,1,2020-01-16,Sendusu
SE201903_(162357C1/132383)_66,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_132,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_27,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_28,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_46,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_81,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_94,1,2020-01-16,Sendusu
SE201905_(162431C1/132332)_65,1,2020-01-16,Sendusu
