FemalePlotName,Crossnumber_1,Crossnumber_2,Crossnumber_3,Crossnumber_4,Crossnumber_5,number_crosses
16NM_Huti-white_plot671r32c2,NM201903_(152700C1/161582),NM202005_(152700C2/161598),,,,2
16NM_Huti-white_plot672r32c1,NM202002_(152612C1/161536),NM202006_(152612C2/161414),,,,2
16NM_Huti-white_plot673r33c1,NM201811_(152936C1/161503),NM201912_(152936C2/161554),NM202104_(152936C/161494),,,3
16NM_Huti-white_plot674r33c2,NM201908_(152839C1/161503),,,,,1
16NM_Huti-white_plot675r33c3,NM201904_(152400C1/136604),NM202005_(152400C2/161595),,,,2
16NM_Huti-white_plot691r33c19,NM201904_(152625C1/161503),,,,,1
16NM_Huti-white_plot692r33c20,NM201904_(152711C1/161582),NM202001_(152711C2/161536),NM202002_(152711C2/161536),,,3
16NM_Huti-white_plot694r34c21,NM201903_(152566C1/161582),NM201912_(152566C2/161467),NM202102_(152566C2/161483),,,3
16NM_Huti-white_plot695r34c20,NM201904_(152392C1/161582),,,,,1
16NM_Huti-white_plot696r34c19,NM201903_(153098C1/161582),,,,,1
16NM_Huti-white_plot712r34c3,NM201906_(153117C1/161584),NM202101_(153117C2/161516),,,,2
16NM_Huti-white_plot713r34c2,NM201904_(153101C1/161503),NM202009_(153101C2/161412),,,,2
16NM_Huti-white_plot714r34c1,NM201812_(153012C1/161584),NM202003_(153012C2/161480),NM202009_(153012C2/161554),NM202011_(153012C2/161554),,4
16NM_Huti-white_plot715r35c1,NM201811_(152445C1/161584),NM201909_(152445C2/161480),NM202103_(152445C/161590),,,3
16NM_Huti-white_plot716r35c2,NM201902_(152457C1/161477),,,,,1
16NM_Huti-white_plot717r35c3,NM201902_(152694C1/161477),NM202105_(152694C2/161590),,,,2
16NM_Huti-white_plot733r35c19,NM201905_(152973C1/161554),NM202008_(152973C2/161468),,,,2
16NM_Huti-white_plot734r35c20,NM201902_(152530C1/161477),NM201910_(152530C2/161584),,,,2
16NM_Huti-white_plot736r36c21,NM201904_(152779C1/161582),NM202003_(152779C2/161478),,,,2
16NM_Huti-white_plot737r36c20,NM201903_(152372C1/161582),,,,,1
16NM_Huti-white_plot738r36c19,NM201904_(152952C1/136604),NM202003_(152952C2/161462),,,,2
16NM_Huti-white_plot754r36c3,NM201910_(152864C1/161555),,,,,1
16NM_Huti-white_plot755r36c2,NM201902_(152961C1/161477),NM201902_(152961C2/136653),NM202007_(152961C2/161554),,,3
16NM_Huti-white_plot756r36c1,NM201812_(152650C1/161503),NM201908_(152650C2/161503),NM202103_(152650C/161590),,,3
16NM_Huti-white_plot757r37c1,NM201811_(152770C1/161584),NM201909_(152770C2/161480),,,,2
16NM_Huti-white_plot758r37c2,NM201902_(152427C1/161477),NM202001_(152427C2/161554),NM202008_(152427C2/161541),,,3
16NM_Huti-white_plot775r37c19,NM201903_(152591C1/161582),NM202003_(152591C2/161462),,,,2
16NM_Huti-white_plot776r37c20,NM201901_(152851C1/161564),,,,,1
16NM_Huti-white_plot777r37c21,NM201903_(152963C1/161582),NM202007_(152963C2/136677),,,,2
16NM_Huti-white_plot778r38c21,NM201904_(152463C1/161582),NM202001_(152463C2/161480),,,,2
16NM_Huti-white_plot779r38c20,NM201901_(153017C1/161564),NM202103_(153017C2/161405),,,,2
16NM_Huti-white_plot780r38c19,NM201903_(152892C1/161424),NM202002_(152892C2/161536),,,,2
16NM_Huti-white_plot797r38c2,NM201901_(152720C1/161503),NM202101_(152720C/161554),,,,2
16NM_Huti-white_plot798r38c1,NM201902_(152376C1/161582),NM201912_(152376C2/161457),NM202103_(152376C/161590),,,3
16NM_Huti-white_plot799r39c1,NM201901_(153162C1/161503),NM201911_(153162C2/161541),NM202001_(153162C2/161468),NM202011_(153162C2/161439),,4
16NM_Huti-white_plot800r39c2,NM201902_(152544C1/161541),NM201912_(152544C2/161421),NM202012_(152544C2/161480),NM202104_(152544C2/161494),,4
16NM_Huti-white_plot801r39c3,NM201902_(152862C1/161541),NM202009_(152862C2/161522),,,,2
16NM_Huti-white_plot817r39c19,NM201904_(152921C1/161554),NM202003_(152921C2/161525),NM202104_(152921C2/161484),,,3
16NM_Huti-white_plot818r39c20,NM201902_(152754C1/161477),NM201911_(152754C2/161421),NM202003_(152754C2/161508),NM202103_(152754C2/161582),,4
16NM_Huti-white_plot819r39c21,NM201902_(152850C1/161477),NM201910_(152850C2/161472),NM202005_(152850C2/161460),NM202102_(152850C2/161469),,4
16NM_Huti-white_plot82r4c3,NM201908_(152634C1/161554),,,,,1
16NM_Huti-white_plot83r4c2,NM201905_(152954C1/161503),NM202012_(152954C/161483),,,,2
